representation,parent_id,rank_group,mutant_id,parent_fitness,mutant_fitness,delta_fitness,status,genotype
Final F1,3,middle,13,1.695086870406392,0.24358813670963714,-1.4514987336967549,feasible,"FXDXrLfqX[Delay,5:1][*][S][@][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,14,1.695086870406392,1.3827254707557421,-0.3123613996506498,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1,s:0][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,15,1.695086870406392,0.045549302836305074,-1.649537567570087,feasible,"FX[*]DXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin,-8:1]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,16,1.695086870406392,1.7026781593507343,0.007591288944342356,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1,7:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,17,1.695086870406392,0.7612492962951815,-0.9338375741112105,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:-3.658][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,18,1.695086870406392,0.5734091754602055,-1.1216776949461864,feasible,"FXDXrLfqX[Delay,6:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[Sin,-4:1][N, -4:1,-1:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -12:-3.596][@, -1:1.935]"
Final F1,3,middle,19,1.695086870406392,1.0161690719360286,-0.6789177984703634,feasible,"FX[T]DXrLfqX[Delay, 5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1, t:117][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,3,middle,20,1.695086870406392,0.0116170934571488,-1.683469776949243,feasible,"FXDXrLfqX[Delay,5:1][*][S][@, 1:1][Sin, -4:1]dLXrLX[N, -3:1][|][Sin]qMX[|, 2:1][Water][Delay, -3:1][S][Sin, -11:-3.596][@, -1:1.935]"
Final F1,4,middle,1,1.5371409294480334,0.13740037288296675,-1.3997405565650667,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin,-1:1]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,2,1.5371409294480334,0.19186275350662635,-1.345278175941407,feasible,"rr(, RXLbXrMX[N, si:-999][Sin]MX[*][*][|, -3:1], Rf(, , DXX[Delay]))"
Final F1,4,middle,3,1.5371409294480334,1.33594563616417,-0.20119529328386343,feasible,"rr(, RXLbXMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,4,1.5371409294480334,0.2725011722015138,-1.2646397572465196,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXDXX[Delay, -2:1]))"
Final F1,4,middle,5,1.5371409294480334,0.15212847487288803,-1.3850124545751454,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , dXDXX[Delay, -2:1]))"
Final F1,4,middle,6,1.5371409294480334,0.8386943245853903,-0.6984466048626431,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX))"
Final F1,4,middle,7,1.5371409294480334,1.0792991085837023,-0.4578418208643311,feasible,"rr(, RXLbXrMX[Sin,1:1][N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1,-9:1]))"
Final F1,4,middle,8,1.5371409294480334,1.112331588864295,-0.4248093405837383,feasible,"rr(, RXLbXrMX[N, 6:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][Gpart], Rf(, , DXX[Delay]))"
Final F1,4,middle,9,1.5371409294480334,-0.022676381185455577,-1.559817310633489,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(,  DXX[Delay, -2:1]))"
Final F1,4,middle,10,1.5371409294480334,1.542356583090249,0.005215653642215656,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,11,1.5371409294480334,0.2915832043937203,-1.245557725054313,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , XX[Delay, -2:1]))"
Final F1,4,middle,12,1.5371409294480334,1.4445222291250681,-0.09261870032296526,feasible,"rr(, RXLbXrMX[N, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S], Rf(, , DXX[Delay, -1:1]))"
Final F1,4,middle,13,1.5371409294480334,1.5551251220782771,0.017984192630243756,feasible,"rr(, RXLbXrMX[Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,14,1.5371409294480334,1.1085096077140197,-0.42863132173401364,feasible,"rr(, RXLbX[|,3:1]rMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,15,1.5371409294480334,0.48287755319336695,-1.0542633762546665,feasible,"r(, RXLbXrMX[N, 7:1, si:-999][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,16,1.5371409294480334,0.010779474822212606,-1.5263614546258208,feasible,"rr(, RXLbXrMX[Water][N, 7:1, si:-999,-1:1][Sin]MX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
Final F1,4,middle,17,1.5371409294480334,0.12736303234330892,-1.4097778971047243,feasible,"rr(, RXLbXrMX[N, 7:1, si:-999][Sin]dXMX[*][*][|, -3:1]X[|,-4:1][S][Gpart], Rf(, , DXX[Delay, -2:1]))"
