genotype_index,genotype,perfperiod,lifespan,distance,velocity
26,"(rrX(lX(llX,),lXMMMMX[|1:1.378]rrX[T:-0.407]l(LlX,,LlX),))",100,10000.0,0.0015974007014973976,1.5974007014973977e-07
27,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",100,10000.0,283.27295810758085,0.02832729581075808
28,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:1], X))",100,10000.0,133.9731280171378,0.013397312801713784
29,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.898,fo:1]RRX(X, X)",100,10000.0,0.2950659702089343,2.9506597020893435e-05
30,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",100,10000.0,3.145930288786462,0.0003145930288786462
31,RXX(XCcLX[S]XX),100,10000.0,0.0011114209794105268,1.1114209794105268e-07
32,"X[S]rrX[G][-1:80][|, -1:-0.027]X[|, -2:-23.499]",100,10000.0,19.69947036854522,0.001969947036854522
33,"(rrX(lX(llX,),lXMMMMX[|1:1.378,s:0]rrX[T:-0.407]l(LlX,,LlX),))",100,10000.0,0.0026000086344857365,2.600008634485736e-07
34,"bDdgX(X[@0:1.524][|1:-4.885], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-2.097][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][N][|G:3.838], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",100,10000.0,269.8348832736518,0.026983488327365187
35,"X(X, RRMMX[@G:0.738](X[@G:-0.553,-1:0.623], X))",100,10000.0,133.2756468853301,0.013327564688533008
36,"FFX[G:-8.903,in:0]MMX[|-1:11.318,in:0.8,fo:0.04]X[|-1:-1.206,fo:1]RRX(X, X)",100,10000.0,0.39727688103640296,3.97276881036403e-05
37,"RRLLLLFFFFX[*][Sin][N,-1:-19.155,-2:3.977,in:0.907657]lllffffX[|,-1:49.545,p:1,r:0.886]RRFFFFXllllF(llllFFFF(lllllXllllFFFFX))",100,10000.0,3.050272447654069,0.00030502724476540687
38,XX(XCcLX[S]XX),100,10000.0,0.0,0.0
39,"X[S]rrX[G][-1:80][|, -1:-0.027]fX[|, -2:-23.499]",100,10000.0,17.07425746330047,0.001707425746330047
0,X,500,10000.0,0.0,0.0
1,X(X),500,10000.0,0.0,0.0
2,"RXX(X,CXXX)",500,10000.0,1.6045315181896406e-10,1.6045315181896405e-14
3,"XrrX[G][-1:80][|,-1:0.9]X[|,-2:-21]",500,10000.0,18.877864263642945,0.0018877864263642944
4,"(rrX(lX(llX[T:1],),lXMMMMX[|1:2,-1:-3]rrX[T:-0.407](LlX,,LlX),))",500,10000.0,33.788979567660306,0.00337889795676603
5,"bDdgX(X[@0:1.524][|1:-2.379], rrLC(rX[|T:2.114], rrrLX[|T:2.114], rrrLX[|T:3.939], rLMX[|T:2.936, -1:-0.812], rLMXFX[@1:-1.040][0:-1.331][|G:1.849][T:-2.607], rLMXFcCX[@1:2.227][0:-1.331][|G:1.849], rLMXFcCX[@0:-2.675, -1:-483.403, 1:-822.175][|G:2.389], X))",500,10000.0,90.41020151842517,0.009041020151842516
6,"X(X, RRMMX[@G:.5](X[@G:.5], X))",500,10000.0,0.24294199896313756,2.4294199896313757e-05
7,"FFX[G:-5.141,in:0]MMX[|-1:8.097,in:0.8,fo:0.04]X[|-1:1.768,fo:1]RRX(X, X)",500,10000.0,21.05745447057772,0.002105745447057772
8,"RRLLLLFFFFX[*][Sin][N,-1:-14.52,-2:3.977,in:0.907657]lllffffX[|,-1:52.083,p:1,r:0.886]RRFFFFXllllF(llllFFFF(llllX,llllFFFFX))",500,10000.0,34.183389667752905,0.003418338966775291
9,"X(X,)",500,10000.0,0.0,0.0
10,"RXX(X,CcXXX)",500,10000.0,9.352482612457786e-13,9.352482612457785e-17
11,"X[S]rrX[G][-1:80][|, -1:0.9]X[|, -2:-21]",500,10000.0,11.778394720591109,0.001177839472059111
