category,walk_id,sample_id,rank_group,step,fitness,genotype,mutation_attempts
f0,0-2,2,best,18,0.14285716085496555,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
",1
f0,0-2,2,best,19,0.14285716085496555,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:-0.065, -0.555, -0.092, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
",1
f0,0-2,2,best,20,0.15452761282170802,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.452, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
",1
f0,0-2,2,best,21,0.15451606883614816,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
",1
f0,0-2,2,best,22,0.13708244662187666,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.951, -0.886, -0.114, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
j:1, 0
",1
f0,0-2,2,best,23,0.12335748221005692,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-1.064, -0.894, -0.505, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
j:1, 0
",1
f0,0-2,2,best,24,0.12332947820812176,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-1.064, -0.894, -0.505, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:5, 4, stif=0.989, rotstif=0.98
j:2, 0, stif=0.993
j:1, 5
j:1, 0
",1
f0,0-2,2,best,25,0.1294824291608135,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.7904858545086024, -0.7755302102377377, -0.43807914560409117, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:4, 5, stif=0.989, rotstif=0.98
j:2, 0, stif=0.993
j:1, 4
j:1, 0
",1
f0,0-2,2,best,26,0.1294824291608135,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605, ing=0.262
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.7904858545086024, -0.7755302102377377, -0.43807914560409117, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.283
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:4, 5, stif=0.989, rotstif=0.98
j:2, 0, stif=0.993
j:1, 4
j:1, 0
",1
f0,0-2,2,best,27,0.1294824291608135,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605, ing=0.262
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.7904858545086024, -0.7755302102377377, -0.43807914560409117, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.298
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1
j:4, 5, stif=0.989, rotstif=0.98
j:2, 0, stif=0.993
j:1, 4
j:1, 0
",1
f0,0-2,2,best,28,0.12956287886419196,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605, ing=0.262
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.7904858545086024, -0.7755302102377377, -0.43807914560409117, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.298
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1, stif=0.946
j:4, 5, stif=0.989, rotstif=0.98
j:2, 0, stif=0.993
j:1, 4
j:1, 0
",1
f0,0-2,2,best,29,0.1296125264967421,"//0
p:-0.17593777293527024, -0.08434429946942196, 0.12537305235946605, ing=0.262
p:1.0, fr=0.251
p:-0.04, -0.658, -0.796
p:1.287, -0.199, 1.484
p:-0.7904858545086024, -0.7755302102377377, -0.43807914560409117, fr=0.495, ing=0.246
p:0.055, -0.489, -0.296, ing=0.298
j:3, 0, rotstif=0.776
j:1, 3
j:2, 1, stif=0.946
j:4, 5, stif=0.986, rotstif=0.98
j:2, 0, stif=0.993
j:1, 4
j:1, 0
",1
