run,genetic_format,iteration,sample_index,genotype,fitness,parent_genotype
36,1,56,3,"RLX[N, 2:1][|]rfFcX[N, 2:1][|, -1:1][G]",0.0015526552489328145,"RLX[|]rfFcX[N,2:1][|,-1:1][G]"
37,1,0,0,X,0.0,
37,1,16,1,"C(LX[T,rz:0][|, -1:9.387], X[@, -2:-1.026])",0.0004773204191784137,"C(LX[T][|, -1:9.387], X[@, -2:-1.026])"
37,1,50,2,"CL(LX[T][|, -1:4.136], X[@, -2:-2.128])",0.0028604615055856024,"CL(LX[T][|, -1:4.905], X[@, -2:-2.128])"
37,1,60,3,"CL(LX[T][|, -1:4.905], X[T][@, -3:-2.128])",0.005289971495216097,"CL(LX[T][|, -1:4.905], X[@, -2:-2.128])"
38,1,0,0,X,0.0,
38,1,36,1,"RCQmfFX[|,1:1.021][G][S]XXX[|,-2:6.808,p:0.25]",0.01209181829356583,"RCQmfFX[|,1:1.021][G][S]XXX[|,-2:7.58,p:0.25]"
38,1,58,2,"RCQmfFX[|,1:7.321][G][S]XXX[|,-2:6.251,p:0.312]",0.016491402600374738,"RCQmfFX[|,1:3.43][G][S]XXX[|,-2:6.251,p:0.312]"
38,1,110,3,"RCQmfFX[|,1:7.74][G][S]mXXX[|,-2:6.168,p:0.312]",0.01760685059268975,"RCQmfFX[|,1:7.74][G][S]XXX[|,-2:6.168,p:0.312]"
39,1,0,0,X,0.0,
39,1,18,1,QfX[@]QcLXLLX[|],0.0001819547973736608,QX[@]QcLXLLX[|]
39,1,40,2,"qLXLQfXQcLX[Gpart]LLX[|,-1:-2.285,p:0.25]",0.0031859773532533597,"qLXLQfXQcLX[Gpart]LLX[|,-1:-2.285]"
39,1,67,3,"qMLXLQfXQcLX[T][Gpart]LX[|, -1:-2.353]",0.007624185191803517,"qMLXLQfXQcLX[Gpart]LX[|,-1:-2.353]"
4,1,0,0,X,0.0,
4,1,32,1,"RXQlCCFX[Gpart,rz:0,ry:0]X[@,-1:8.042,p:1]",0.00016994643596452666,"RXQlCCFX[Gpart,rz:0]X[@,-1:8.042,p:1]"
4,1,52,2,"RXQlCCqX[Gpart,rz:0]LFX[@,-1:6.31,p:0.941]",0.00041206267118225115,"RXQlCCqX[Gpart,rz:0]LFX[@,-1:6.437,p:0.941]"
4,1,91,3,"XQlCCqX[*][Gpart, rz:0]LFX[@, -1:6.435, p:0.941]",0.0004226474405086887,"XQlCCqX[Gpart,rz:0]LFX[@,-1:6.435,p:0.941]"
40,1,0,0,X,0.0,
40,1,3,1,"rX[*]FX[|,-1:-0.008]",0.00015369208775568657,"rX[*]FX[|,-1:1]"
40,1,11,2,"rX[*]FFqX[|,-1:-0.008,r:1]",0.00017143288668433932,"rX[*]FFqX[|,-1:-0.008]"
40,1,33,3,"rX[*]rFFqX[N, -1:1][|, -2:-0.008]",0.00017776447260322756,"rX[*]rFFqX[|,-1:-0.008]"
41,1,0,0,X,0.0,
41,1,29,1,"R(LX[|, 1:-0.725][*]q(,RX[Gpart]), RFX)",0.0005763977076271343,"R(LX[|, 1:-0.768][*]q(,RX[Gpart]), RFX)"
41,1,20,2,"R(LX[|, 1:-0.937][*]q(, RX[Gpart]), FX[N, -2:1])",0.002180537586012804,"R(LX[|, 1:-0.937][*]q(,RX[Gpart]), FX)"
41,1,42,3,"R(LX[Gpart][|, 1:-0.768][*]q(, RX[Gpart]), RFX)",0.002217220903478732,"R(LX[|, 1:-0.768][*]q(,RX[Gpart]), RFX)"
42,1,0,0,X,0.0,
42,1,26,1,"(lX[T][|,-1:-0.471], X[@, -2:-21.543])",0.0022403239776902315,"(lX[T][|,-1:-0.471], X[@, -2:-19.066])"
42,1,51,2,"(lX[S][T][|, -1:-0.497], X[@, -2:-21.219])",0.002309123363199519,"(lX[T][|,-1:-0.497], X[@, -2:-21.219])"
42,1,82,3,"(lX[T][|, -1:-0.497], X[N, -2:1][@, -3:-28.37])",0.0024791891377582854,"(lX[T][|,-1:-0.497], X[@, -2:-28.37])"
43,1,0,0,X,0.0,
